Chr	Start	End	Target	Score
chrY	13812201	13814201	ENST00000458323	0.743
chrY	13812201	13814201	ENST00000395011	0.598
chrY	13850601	13852601	ENST00000521160	0.646
chrY	13850601	13852601	ENST00000458323	0.752
chrY	13850601	13852601	ENST00000395011	0.67
chrY	13861801	13863801	ENST00000395011	0.532
chrY	13861801	13863801	ENST00000529647	0.482
chrY	13861801	13863801	ENST00000231948	0.554
chrY	13868801	13870801	ENST00000475024	0.635
chrY	13868801	13870801	ENST00000474617	0.464
chrY	13868801	13870801	ENST00000521160	0.663
chrY	58971801	58973801	ENST00000491024	0.658
chrY	58971801	58973801	ENST00000389704	0.126
chrY	58971801	58973801	ENST00000350125	0.879
chrY	58979801	58981801	ENST00000389704	0.112
chrY	58979801	58981801	ENST00000350125	0.747
chrY	58979801	58981801	ENST00000423505	0.099
chrY	58984001	58986001	ENST00000491024	0.87
chrY	58984001	58986001	ENST00000389704	0.45
chrY	58984001	58986001	ENST00000350125	0.823
chrY	58988601	58990601	ENST00000491024	0.672
chrY	58988601	58990601	ENST00000350125	0.683
chrY	58988601	58990601	ENST00000338912	0.461
chrY	59000801	59002801	ENST00000491024	0.841
chrY	59000801	59002801	ENST00000389704	0.383
chrY	59000801	59002801	ENST00000350125	0.487
chrX	3617001	3619001	ENST00000540614	0.786
chrX	3617001	3619001	ENST00000509628	0.689
chrX	3617001	3619001	ENST00000490498	0.635
chrX	3629401	3631401	ENST00000540614	0.682
chrX	3629401	3631401	ENST00000541153	0.333
chrX	3629401	3631401	ENST00000445460	0.596
chrX	3733201	3735201	ENST00000540614	0.771
chrX	3733201	3735201	ENST00000378046	0.728
chrX	3733201	3735201	ENST00000444690	0.781
chrX	5564401	5566401	ENST00000508684	0.904
chrX	5564401	5566401	ENST00000508238	0.467
chrX	5564401	5566401	ENST00000339446	0.097
chrX	6656401	6658401	ENST00000508238	0.235
chrX	6656401	6658401	23712	0.841
chrX	6656401	6658401	ENST00000399815	0.427
chrX	6976801	6978801	ENST00000442242	0.562
chrX	6976801	6978801	ENST00000418300	0.658
chrX	6976801	6978801	ENST00000399815	0.717
chrX	7002801	7004801	ENST00000418300	0.691
chrX	7002801	7004801	ENST00000544290	0.627
chrX	7002801	7004801	ENST00000504000	0.635
chrX	7027001	7029001	23712	0.699
chrX	7027001	7029001	ENST00000442242	0.799
chrX	7027001	7029001	ENST00000399815	0.589
chrX	7032801	7034801	ENST00000544290	0.686
chrX	7032801	7034801	ENST00000520312	0.681
chrX	7032801	7034801	ENST00000399815	0.632
chrX	7038001	7040001	ENST00000544290	0.805
chrX	7038001	7040001	ENST00000520312	0.803
chrX	7038001	7040001	ENST00000504000	0.751
chrX	7050001	7052001	ENST00000544290	0.806
chrX	7050001	7052001	ENST00000520312	0.808
chrX	7050001	7052001	ENST00000399815	0.642
chrX	7179001	7181001	ENST00000508238	0.363
chrX	7179001	7181001	ENST00000418300	0.612
chrX	7179001	7181001	ENST00000421064	0.654
chrX	7894001	7896001	ENST00000421064	0.493
chrX	7894001	7896001	ENST00000436827	0.572
chrX	7894001	7896001	ENST00000395884	0.476
chrX	7918201	7920201	ENST00000520306	0.737
chrX	7918201	7920201	ENST00000421064	0.898
chrX	7918201	7920201	ENST00000489098	0.531
chrX	9308401	9310401	ENST00000538108	0.834
chrX	9308401	9310401	ENST00000459674	0.499
chrX	9308401	9310401	ENST00000438075	0.505
chrX	9319801	9321801	ENST00000515281	0.627
chrX	9319801	9321801	ENST00000442248	0.55
chrX	9319801	9321801	ENST00000420568	0.823
chrX	9644601	9646601	ENST00000375645	0.881
chrX	9644601	9646601	ENST00000442591	0.584
chrX	9644601	9646601	ENST00000518076	0.637
chrX	10050601	10052601	ENST00000545262	0.617
chrX	10050601	10052601	ENST00000442591	0.61
chrX	10050601	10052601	ENST00000527933	0.712
chrX	10065801	10067801	ENST00000538108	0.561
chrX	10065801	10067801	ENST00000442591	0.687
chrX	10065801	10067801	ENST00000530170	0.596
chrX	10074201	10076201	ENST00000442591	0.757
chrX	10074201	10076201	ENST00000527933	0.654
chrX	10074201	10076201	ENST00000459780	0.567
chrX	10078001	10080001	ENST00000388972	0.6
chrX	10078001	10080001	ENST00000527933	0.691
chrX	10078001	10080001	ENST00000518076	0.926
chrX	10086001	10088001	ENST00000442591	0.622
chrX	10086001	10088001	ENST00000530170	0.617
chrX	10086001	10088001	ENST00000469137	0.561
chrX	11129401	11131401	ENST00000418582	0.676
chrX	11129401	11131401	ENST00000542639	0.899
chrX	11129401	11131401	ENST00000458215	0.521
chrX	11756601	11758601	ENST00000356031	0.71
chrX	11756601	11758601	ENST00000429103	0.843
chrX	11756601	11758601	ENST00000263849	0.881
chrX	11777801	11779801	ENST00000342990	0.639
chrX	11777801	11779801	ENST00000490841	0.669
chrX	11777801	11779801	ENST00000263849	0.683
chrX	11785401	11787401	ENST00000342990	0.863
chrX	11785401	11787401	ENST00000490841	0.733
chrX	11785401	11787401	ENST00000263849	0.826
chrX	11809401	11811401	ENST00000418582	0.696
chrX	11809401	11811401	ENST00000383963	0.81
chrX	11809401	11811401	ENST00000356031	0.672
chrX	12809801	12811801	ENST00000513839	0.561
chrX	12809801	12811801	ENST00000361930	0.581
chrX	12809801	12811801	ENST00000520272	0.489
chrX	12860601	12862601	ENST00000361930	0.697
chrX	12860601	12862601	ENST00000529069	0.769
chrX	12860601	12862601	ENST00000518051	0.702
chrX	12885201	12887201	ENST00000538704	0.897
chrX	12885201	12887201	ENST00000544261	0.834
chrX	12885201	12887201	ENST00000426522	0.861
chrX	12887801	12889801	ENST00000529069	0.905
chrX	12887801	12889801	ENST00000306910	0.798
chrX	12887801	12889801	ENST00000545534	0.805
chrX	12891401	12893401	ENST00000306910	0.869
chrX	12891401	12893401	ENST00000545534	0.835
chrX	12891401	12893401	ENST00000503640	0.786
chrX	12905601	12907601	ENST00000513839	0.896
chrX	12905601	12907601	ENST00000369442	0.929
chrX	12905601	12907601	ENST00000472703	0.918
chrX	12908401	12910401	ENST00000513839	0.844
chrX	12908401	12910401	ENST00000472703	0.807
chrX	12908401	12910401	ENST00000545534	0.803
chrX	12910001	12912001	ENST00000513839	0.828
chrX	12910001	12912001	ENST00000518051	0.812
chrX	12910001	12912001	ENST00000453974	0.837
chrX	12964801	12966801	ENST00000472703	0.876
chrX	12964801	12966801	ENST00000539987	0.834
chrX	12964801	12966801	ENST00000544261	0.819
chrX	12967401	12969401	ENST00000453974	0.925
chrX	12967401	12969401	ENST00000531199	0.926
chrX	12967401	12969401	ENST00000514558	0.941
chrX	12973601	12975601	ENST00000361930	0.911
chrX	12973601	12975601	ENST00000472703	0.881
chrX	12973601	12975601	ENST00000538704	0.892
chrX	12979001	12981001	ENST00000361930	0.816
chrX	12979001	12981001	ENST00000518051	0.825
chrX	12979001	12981001	ENST00000306910	0.793
chrX	12988401	12990401	ENST00000472703	0.995
chrX	12988401	12990401	ENST00000531199	0.989
chrX	12988401	12990401	ENST00000529019	0.992
chrX	12993201	12995201	ENST00000361930	0.877
chrX	12993201	12995201	ENST00000529019	0.635
chrX	12993201	12995201	ENST00000306910	0.858
chrX	12995201	12997201	ENST00000361930	0.852
chrX	12995201	12997201	ENST00000472703	0.809
chrX	12995201	12997201	ENST00000306910	0.863
chrX	12998801	13000801	ENST00000472703	0.854
chrX	12998801	13000801	ENST00000531199	0.923
chrX	12998801	13000801	ENST00000436973	0.869
chrX	13002201	13004201	ENST00000518051	0.803
chrX	13002201	13004201	ENST00000472703	0.858
chrX	13002201	13004201	ENST00000531199	0.969
chrX	13017001	13019001	ENST00000423209	0.846
chrX	13017001	13019001	ENST00000538704	0.847
chrX	13017001	13019001	ENST00000482805	0.784
chrX	13022201	13024201	ENST00000361930	0.893
chrX	13022201	13024201	ENST00000544261	0.817
chrX	13022201	13024201	ENST00000426522	0.862
chrX	13025401	13027401	ENST00000518051	0.939
chrX	13025401	13027401	ENST00000539987	0.839
chrX	13025401	13027401	ENST00000538704	0.82
chrX	13031201	13033201	ENST00000361930	0.858
chrX	13031201	13033201	ENST00000472703	0.74
chrX	13031201	13033201	ENST00000529019	0.839
chrX	13040401	13042401	ENST00000518051	0.903
chrX	13040401	13042401	ENST00000538704	0.821
chrX	13040401	13042401	ENST00000545534	0.796
chrX	13043401	13045401	ENST00000529019	0.939
chrX	13043401	13045401	ENST00000539987	0.839
chrX	13043401	13045401	ENST00000423209	0.832
chrX	13047001	13049001	ENST00000539987	0.843
chrX	13047001	13049001	ENST00000423209	0.78
chrX	13047001	13049001	ENST00000482805	0.814
chrX	13068801	13070801	ENST00000539987	0.833
chrX	13068801	13070801	ENST00000423209	0.849
chrX	13068801	13070801	ENST00000482805	0.916
chrX	13072801	13074801	ENST00000538704	0.941
chrX	13072801	13074801	ENST00000544261	0.918
chrX	13072801	13074801	ENST00000426522	0.855
chrX	13092001	13094001	ENST00000529069	0.814
chrX	13092001	13094001	ENST00000539987	0.884
chrX	13092001	13094001	ENST00000544261	0.843
chrX	13096001	13098001	ENST00000529069	0.921
chrX	13096001	13098001	ENST00000545534	0.832
chrX	13096001	13098001	ENST00000544261	0.895
chrX	13099601	13101601	ENST00000529069	0.881
chrX	13099601	13101601	ENST00000426522	0.959
chrX	13099601	13101601	ENST00000482805	0.836
chrX	13105201	13107201	ENST00000369442	0.95
chrX	13105201	13107201	ENST00000306910	0.904
chrX	13105201	13107201	ENST00000425230	0.837
chrX	13108001	13110001	ENST00000544261	0.825
chrX	13108001	13110001	ENST00000426522	0.831
chrX	13108001	13110001	ENST00000482805	0.783
chrX	13108001	13110001	ENST00000425230	0.783
chrX	13271401	13273401	ENST00000472703	0.881
chrX	13271401	13273401	ENST00000529019	0.911
chrX	13271401	13273401	ENST00000544261	0.792
chrX	13273801	13275801	ENST00000472703	0.921
chrX	13273801	13275801	ENST00000306910	0.855
chrX	13273801	13275801	ENST00000545534	0.855
chrX	13281201	13283201	ENST00000544261	0.835
chrX	13281201	13283201	ENST00000488728	0.9
chrX	13281201	13283201	ENST00000514558	0.843
chrX	13491001	13493001	ENST00000518051	0.872
chrX	13491001	13493001	ENST00000543262	0.883
chrX	13491001	13493001	ENST00000422887	0.885
chrX	13504801	13506801	ENST00000545534	0.85
chrX	13504801	13506801	ENST00000544261	0.727
chrX	13504801	13506801	ENST00000314552	0.762
chrX	13670801	13672801	ENST00000543262	0.793
chrX	13670801	13672801	ENST00000397124	0.738
chrX	13670801	13672801	ENST00000468673	0.693
chrX	13679601	13681601	ENST00000472703	0.889
chrX	13679601	13681601	ENST00000506895	0.948
chrX	13679601	13681601	ENST00000314552	0.855
chrX	13684801	13686801	ENST00000545534	0.73
chrX	13684801	13686801	ENST00000422887	0.771
chrX	13684801	13686801	ENST00000447250	0.828
chrX	13688001	13690001	ENST00000529069	0.906
chrX	13688001	13690001	ENST00000506895	0.854
chrX	13688001	13690001	ENST00000514558	0.861
chrX	13707201	13709201	ENST00000506895	0.835
chrX	13707201	13709201	ENST00000422887	0.665
chrX	13707201	13709201	ENST00000513269	0.677
chrX	13710401	13712401	ENST00000314552	0.946
chrX	13710401	13712401	ENST00000422887	0.975
chrX	13710401	13712401	ENST00000447250	0.693
chrX	13715401	13717401	ENST00000529069	0.911
chrX	13715401	13717401	ENST00000513269	0.884
chrX	13715401	13717401	ENST00000412848	0.903
chrX	13719001	13721001	ENST00000529069	0.96
chrX	13719001	13721001	ENST00000506895	0.784
chrX	13719001	13721001	ENST00000422887	0.922
chrX	13748801	13750801	ENST00000422887	0.952
chrX	13748801	13750801	ENST00000482805	0.994
chrX	13748801	13750801	ENST00000513269	0.994
chrX	13759801	13761801	ENST00000518051	0.86
chrX	13759801	13761801	ENST00000436973	0.918
chrX	13759801	13761801	ENST00000514558	0.848
chrX	13768201	13770201	ENST00000518051	0.825
chrX	13768201	13770201	ENST00000426522	0.846
chrX	13768201	13770201	ENST00000410049	0.915
chrX	13770001	13772001	ENST00000482805	0.861
chrX	13770001	13772001	ENST00000513269	0.878
chrX	13770001	13772001	ENST00000410049	0.894
chrX	13776601	13778601	ENST00000513269	0.974
chrX	13776601	13778601	ENST00000506738	0.941
chrX	13776601	13778601	ENST00000410049	0.856
chrX	14045801	14047801	ENST00000447250	0.88
chrX	14045801	14047801	ENST00000416920	0.721
chrX	14045801	14047801	ENST00000461918	0.806
chrX	14514601	14516601	ENST00000514558	0.716
chrX	14514601	14516601	ENST00000328839	0.564
chrX	14514601	14516601	ENST00000302572	0.673
chrX	15175801	15177801	ENST00000443417	0.655
chrX	15175801	15177801	ENST00000271764	0.82
chrX	15175801	15177801	ENST00000532640	0.648
chrX	15352001	15354001	ENST00000302572	0.814
chrX	15352001	15354001	ENST00000456526	0.79
chrX	15352001	15354001	ENST00000452777	0.799
chrX	15693001	15695001	ENST00000458773	0.831
chrX	15693001	15695001	ENST00000453107	0.916
chrX	15693001	15695001	ENST00000433844	0.845
chrX	15767801	15769801	ENST00000302572	0.697
chrX	15767801	15769801	ENST00000456526	0.853
chrX	15767801	15769801	ENST00000518480	0.836
chrX	15799601	15801601	ENST00000458773	0.789
chrX	15799601	15801601	ENST00000439055	0.843
chrX	15799601	15801601	ENST00000517221	0.893
chrX	15808201	15810201	ENST00000433844	0.676
chrX	15808201	15810201	ENST00000536976	0.687
chrX	15808201	15810201	ENST00000464684	0.743
chrX	15870801	15872801	ENST00000480988	0.667
chrX	15870801	15872801	ENST00000471340	0.69
chrX	15870801	15872801	ENST00000529211	0.799
chrX	15920801	15922801	ENST00000339615	0.594
chrX	15920801	15922801	ENST00000480988	0.594
chrX	15920801	15922801	ENST00000517221	0.779
chrX	16041201	16043201	ENST00000443417	0.901
chrX	16041201	16043201	ENST00000532010	0.815
chrX	16041201	16043201	ENST00000462278	0.791
chrX	16085601	16087601	24085	0.781
chrX	16085601	16087601	ENST00000376458	0.786
chrX	16085601	16087601	ENST00000517221	0.872
chrX	16137001	16139001	ENST00000529211	0.934
chrX	16137001	16139001	ENST00000384426	0.701
chrX	16137001	16139001	ENST00000462278	0.762
chrX	16154801	16156801	ENST00000468861	0.647
chrX	16154801	16156801	ENST00000529211	0.706
chrX	16154801	16156801	ENST00000539635	0.847
chrX	16737201	16739201	ENST00000493219	0.681
chrX	16737201	16739201	ENST00000517221	0.789
chrX	16737201	16739201	ENST00000518232	0.721
chrX	16805001	16807001	ENST00000532010	0.693
chrX	16805001	16807001	ENST00000462278	0.59
chrX	16805001	16807001	ENST00000428390	0.577
chrX	16886201	16888201	ENST00000358278	0.731
chrX	16886201	16888201	ENST00000545216	0.835
chrX	16886201	16888201	ENST00000428390	0.724
chrX	18873401	18875401	ENST00000517849	0.722
chrX	18873401	18875401	ENST00000288840	0.688
chrX	18873401	18875401	ENST00000445584	0.612
chrX	18903001	18905001	ENST00000336057	0.585
chrX	18903001	18905001	ENST00000415844	0.737
chrX	18903001	18905001	ENST00000341472	0.791
chrX	19000601	19002601	ENST00000368240	0.787
chrX	19000601	19002601	ENST00000341472	0.741
chrX	19000601	19002601	ENST00000288840	0.699
chrX	19211801	19213801	ENST00000517937	0.613
chrX	19211801	19213801	ENST00000476882	0.633
chrX	19211801	19213801	ENST00000486343	0.812
chrX	19362201	19364201	ENST00000496156	0.689
chrX	19362201	19364201	ENST00000486343	0.573
chrX	19362201	19364201	ENST00000508063	0.947
chrX	19368401	19370401	ENST00000341472	0.576
chrX	19368401	19370401	ENST00000508063	0.922
chrX	19368401	19370401	ENST00000536720	0.814
chrX	19647601	19649601	ENST00000496156	0.48
chrX	19647601	19649601	ENST00000508063	0.479
chrX	19647601	19649601	ENST00000435802	0.649
chrX	19746401	19748401	ENST00000486343	0.729
chrX	19746401	19748401	ENST00000473789	0.524
chrX	19746401	19748401	ENST00000445584	0.461
chrX	19761601	19763601	ENST00000435802	0.719
chrX	19761601	19763601	ENST00000473789	0.603
chrX	19761601	19763601	ENST00000419902	0.605
chrX	19765401	19767401	ENST00000341472	0.63
chrX	19765401	19767401	ENST00000445584	0.603
chrX	19765401	19767401	ENST00000419902	0.681
chrX	19773801	19775801	ENST00000435802	0.737
chrX	19773801	19775801	ENST00000445584	0.798
chrX	19773801	19775801	ENST00000446892	0.721
chrX	19776401	19778401	ENST00000435802	0.682
chrX	19776401	19778401	ENST00000445584	0.803
chrX	19776401	19778401	ENST00000536720	0.515
chrX	19790001	19792001	ENST00000435802	0.875
chrX	19790001	19792001	ENST00000445584	0.839
chrX	19790001	19792001	ENST00000419902	0.819
chrX	19792601	19794601	ENST00000435802	0.958
chrX	19792601	19794601	ENST00000395257	0.588
chrX	19792601	19794601	ENST00000536720	0.8
chrX	19794601	19796601	ENST00000435802	0.816
chrX	19794601	19796601	ENST00000445584	0.744
chrX	19794601	19796601	ENST00000536720	0.866
chrX	19808801	19810801	ENST00000445584	0.853
chrX	19808801	19810801	ENST00000519987	0.768
chrX	19808801	19810801	ENST00000419902	0.847
chrX	19824801	19826801	ENST00000445584	0.719
chrX	19824801	19826801	ENST00000419902	0.792
chrX	19824801	19826801	ENST00000485937	0.779
chrX	19829001	19831001	ENST00000445584	0.917
chrX	19829001	19831001	ENST00000419902	0.657
chrX	19829001	19831001	ENST00000536720	0.596
chrX	19858001	19860001	ENST00000435802	0.892
chrX	19858001	19860001	ENST00000438354	0.789
chrX	19858001	19860001	ENST00000522510	0.849
chrX	19861201	19863201	ENST00000473789	0.542
chrX	19861201	19863201	ENST00000445584	0.809
chrX	19861201	19863201	ENST00000522510	0.906
chrX	19864601	19866601	ENST00000445584	0.877
chrX	19864601	19866601	ENST00000374160	0.796
chrX	19864601	19866601	ENST00000522510	0.771
chrX	19868001	19870001	ENST00000445584	0.653
chrX	19868001	19870001	ENST00000395257	0.618
chrX	19868001	19870001	ENST00000519987	0.587
chrX	19874001	19876001	ENST00000445584	0.827
chrX	19874001	19876001	ENST00000476109	0.633
chrX	19874001	19876001	ENST00000492578	0.784
chrX	19881201	19883201	ENST00000519987	0.549
chrX	19881201	19883201	ENST00000536720	0.812
chrX	19881201	19883201	ENST00000492578	0.703
chrX	19888401	19890401	ENST00000435802	0.76
chrX	19888401	19890401	ENST00000446892	0.607
chrX	19888401	19890401	ENST00000419902	0.454
chrX	19898201	19900201	ENST00000395257	0.852
chrX	19898201	19900201	ENST00000491708	0.745
chrX	19898201	19900201	ENST00000536720	0.855
chrX	19903401	19905401	ENST00000435802	0.662
chrX	19903401	19905401	ENST00000445584	0.612
chrX	19903401	19905401	ENST00000419902	0.567
chrX	20158201	20160201	ENST00000536720	0.716
chrX	20158201	20160201	ENST00000476109	0.688
chrX	20158201	20160201	ENST00000458772	0.647
chrX	20282601	20284601	ENST00000374160	0.676
chrX	20282601	20284601	ENST00000485937	0.614
chrX	20282601	20284601	ENST00000458772	0.586
chrX	20532801	20534801	ENST00000485937	0.447
chrX	20532801	20534801	ENST00000458772	0.455
chrX	20532801	20534801	ENST00000514708	0.59
chrX	21857201	21859201	ENST00000370920	0.796
chrX	21857201	21859201	ENST00000509394	0.747
chrX	21857201	21859201	ENST00000407038	0.72
chrX	21959401	21961401	ENST00000407038	0.727
chrX	21959401	21961401	ENST00000488199	0.689
chrX	21959401	21961401	ENST00000384472	0.681
chrX	22078001	22080001	ENST00000509394	0.578
chrX	22078001	22080001	ENST00000396682	0.578
chrX	22078001	22080001	ENST00000383808	0.738
chrX	22078001	22080001	ENST00000440859	0.595
chrX	23685601	23687601	ENST00000485061	0.873
chrX	23685601	23687601	ENST00000489713	0.886
chrX	23685601	23687601	ENST00000477294	0.702
chrX	23759601	23761601	ENST00000527318	0.687
chrX	23759601	23761601	ENST00000306928	0.746
chrX	23759601	23761601	ENST00000322177	0.701
chrX	23801201	23803201	ENST00000306928	0.672
chrX	23801201	23803201	ENST00000489713	0.688
chrX	23801201	23803201	ENST00000486826	0.868
chrX	23970601	23972601	ENST00000460864	0.828
chrX	23970601	23972601	ENST00000419770	0.828
chrX	23970601	23972601	ENST00000486826	0.783
chrX	24041401	24043401	ENST00000489713	0.809
chrX	24041401	24043401	ENST00000519394	0.754
chrX	24041401	24043401	ENST00000464093	0.794
chrX	24073001	24075001	ENST00000477294	0.771
chrX	24073001	24075001	ENST00000460864	0.733
chrX	24073001	24075001	ENST00000417303	0.88
chrX	24170201	24172201	ENST00000417303	0.996
chrX	24170201	24172201	ENST00000515001	0.974
chrX	24170201	24172201	ENST00000486826	0.982
chrX	24186601	24188601	ENST00000515001	0.935
chrX	24186601	24188601	ENST00000448435	0.942
chrX	24186601	24188601	ENST00000325134	0.928
chrX	24252601	24254601	ENST00000515001	0.69
chrX	24252601	24254601	ENST00000486826	0.802
chrX	24252601	24254601	ENST00000405472	0.805
chrX	24260001	24262001	ENST00000515001	0.613
chrX	24260001	24262001	ENST00000372154	0.779
chrX	24260001	24262001	ENST00000434977	0.781
chrX	24483201	24485201	ENST00000306928	0.903
chrX	24483201	24485201	ENST00000513574	0.708
chrX	24483201	24485201	ENST00000497538	0.795
chrX	24497401	24499401	ENST00000330252	0.83
chrX	24497401	24499401	ENST00000491854	0.811
chrX	24497401	24499401	ENST00000454935	0.693
chrX	24530801	24532801	ENST00000515001	0.735
chrX	24530801	24532801	ENST00000435312	0.803
chrX	24530801	24532801	ENST00000405472	0.828
chrX	24711801	24713801	ENST00000491854	0.698
chrX	24711801	24713801	ENST00000454935	0.611
chrX	24711801	24713801	ENST00000434977	0.759
chrX	29495401	29497401	ENST00000337231	0.312
chrX	29495401	29497401	ENST00000512427	0.498
chrX	29495401	29497401	ENST00000511143	0.498
chrX	29548601	29550601	ENST00000512427	0.664
chrX	29548601	29550601	ENST00000511143	0.664
chrX	29548601	29550601	ENST00000423070	0.0580000000000001
chrX	29572201	29574201	ENST00000512427	0.586
chrX	29572201	29574201	ENST00000511143	0.586
chrX	29572201	29574201	ENST00000423070	0.173
chrX	30586201	30588201	ENST00000485960	0.764
chrX	30586201	30588201	ENST00000545974	0.895
chrX	30586201	30588201	ENST00000486862	0.954
chrX	30594201	30596201	ENST00000518679	0.698
chrX	30594201	30596201	ENST00000532579	0.664
chrX	30594201	30596201	ENST00000486862	0.858
chrX	30607401	30609401	ENST00000518679	0.894
chrX	30607401	30609401	ENST00000532579	0.858
chrX	30607401	30609401	ENST00000486862	0.819
chrX	30610401	30612401	ENST00000512427	0.817
chrX	30610401	30612401	ENST00000511143	0.817
chrX	30610401	30612401	ENST00000545974	0.828
chrX	30610401	30612401	ENST00000486862	0.972
chrX	30614801	30616801	ENST00000512427	0.908
chrX	30614801	30616801	ENST00000511143	0.908
chrX	30614801	30616801	ENST00000486862	0.98
chrX	30671001	30673001	ENST00000377342	0.634
chrX	30671001	30673001	ENST00000485960	0.68
chrX	30671001	30673001	ENST00000472915	0.599
chrX	30730601	30732601	ENST00000518679	0.67
chrX	30730601	30732601	ENST00000507593	0.588
chrX	30730601	30732601	ENST00000401467	0.876
chrX	30905201	30907201	ENST00000525093	0.624
chrX	30905201	30907201	ENST00000532579	0.81
chrX	30905201	30907201	ENST00000545974	0.846
chrX	31078401	31080401	ENST00000518679	0.475
chrX	31078401	31080401	ENST00000485960	0.433
chrX	31078401	31080401	ENST00000480580	0.442
chrX	31110801	31112801	ENST00000512427	0.442
chrX	31110801	31112801	ENST00000511143	0.442
chrX	31110801	31112801	ENST00000518679	0.467
chrX	31110801	31112801	ENST00000459425	0.555
chrX	31116801	31118801	ENST00000518679	0.857
chrX	31116801	31118801	ENST00000532579	0.825
chrX	31116801	31118801	ENST00000459425	0.605
chrX	31186201	31188201	ENST00000390165	0.363
chrX	31186201	31188201	ENST00000393656	0.646
chrX	31186201	31188201	ENST00000480580	0.363
chrX	31241601	31243601	ENST00000390165	0.399
chrX	31241601	31243601	ENST00000480580	0.658
chrX	31241601	31243601	ENST00000486862	0.749
chrX	31246201	31248201	ENST00000518679	0.786
chrX	31246201	31248201	ENST00000393656	0.477
chrX	31246201	31248201	ENST00000486862	0.39
chrX	32466201	32468201	ENST00000375130	0
chrX	32466201	32468201	ENST00000519127	0
chrX	32466201	32468201	ENST00000512774	0.23
chrX	37604601	37606601	ENST00000529222	0.716
chrX	37604601	37606601	ENST00000536019	0.94
chrX	37604601	37606601	ENST00000445738	0.731
chrX	37613001	37615001	ENST00000475892	0.685
chrX	37613001	37615001	ENST00000445738	0.73
chrX	37613001	37615001	ENST00000518823	0.704
chrX	37634801	37636801	ENST00000545239	0.991
chrX	37634801	37636801	ENST00000445738	0.947
